 Morbidade Hospitalar do SUS - por local de internação - São Paulo
Internações por Município e Ano/mês processamento
Divisão administ estadual: 3513 Ribeirão Preto
Lista Morb  CID-10: Acid vascular cerebr não espec hemorrág ou isquêm
Período:Jan/2008-Abr/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"350100 Altinópolis";-;3;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;2;-;3;-;-;-;2;2;1;1;2;1;2;1;5;3;1;2;-;2;2;-;1;3;-;-;1;3;1;7;1;-;-;-;-;2;2;-;1;2;-;-;1;2;4;-;1;3;3;-;2;8;7;7;6;3;3;5;4;8;5;9;12;10;9;7;8;3;9;6;7;7;9;3;6;9;4;12;10;8;8;5;10;8;6;7;14;10;5;9;12;7;10;8;11;5;10;4;5;3;4;4;6;3;2;3;4;-;2;6;4;-;1;2;4;3;5;2;4;1;7;1;3;4;1;1;3;1;-;-;525
"350590 Batatais";3;5;5;5;9;6;5;6;10;7;7;2;7;15;13;5;13;14;8;12;11;12;11;7;6;16;5;13;5;5;6;18;9;11;7;9;7;-;3;10;11;16;11;15;17;5;7;12;8;1;10;9;13;10;7;7;9;8;5;12;8;6;12;4;10;11;7;14;7;5;4;6;7;6;6;10;8;13;6;17;10;4;4;10;6;10;6;6;6;9;8;7;8;9;15;8;9;6;10;4;5;9;14;9;4;6;11;4;8;9;6;12;11;4;7;12;4;10;4;13;6;4;6;4;6;2;8;6;4;7;1;-;1;2;5;3;1;3;5;2;3;4;5;8;5;4;5;8;6;5;5;8;10;5;7;7;7;11;4;9;1207
"350940 Cajuru";3;2;6;8;3;2;6;2;3;3;-;-;2;2;2;3;4;2;8;4;10;5;2;3;5;2;2;2;6;3;5;5;8;3;6;6;5;2;1;2;2;1;6;4;1;3;7;2;6;2;4;4;1;2;2;-;2;3;4;1;4;3;-;6;6;2;2;2;3;1;2;1;3;2;6;5;7;1;-;2;6;5;1;2;4;1;4;4;-;1;1;5;3;4;3;3;3;5;4;5;-;2;1;2;1;3;4;5;2;2;-;1;4;3;4;3;4;3;5;5;-;2;1;3;5;2;1;2;3;4;2;3;1;-;1;1;3;4;3;1;1;-;2;2;4;1;3;3;2;4;1;1;3;1;5;1;2;2;2;2;465
"351310 Cravinhos";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;3;1;-;1;4;1;1;-;1;1;-;-;3;3;2;2;2;1;-;1;1;1;-;2;-;-;2;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;1;3;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;58
"351860 Guariba";2;5;3;1;6;3;2;1;3;4;-;7;-;2;6;1;3;2;1;1;2;-;-;-;-;4;1;3;-;2;-;4;2;1;3;-;-;1;-;1;-;2;-;-;-;-;2;3;1;-;-;-;1;-;3;-;2;4;4;2;2;-;1;1;4;-;-;2;1;-;-;-;-;-;-;-;-;-;3;-;1;1;1;1;-;1;-;-;-;-;-;1;-;1;2;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;4;1;2;-;-;-;-;3;1;-;-;-;-;-;2;1;-;1;1;-;1;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;150
"352430 Jaboticabal";5;11;3;6;4;6;5;4;1;9;2;10;4;4;8;5;4;7;3;2;9;-;2;5;4;11;6;8;3;8;4;2;4;4;5;4;6;4;6;9;5;8;9;7;10;3;6;5;-;-;-;-;1;-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;2;2;-;4;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;6;2;-;3;5;5;3;4;2;2;5;6;2;4;-;1;3;5;8;4;6;6;3;5;1;7;3;3;3;4;10;9;12;430
"352510 Jardinópolis";4;4;2;2;3;1;1;5;3;1;2;2;3;1;2;1;4;2;2;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
"353130 Monte Alto";3;3;3;3;4;4;4;2;3;9;1;3;2;1;1;2;6;4;5;7;5;2;7;1;4;6;3;3;3;7;3;5;4;4;1;2;1;5;2;3;3;3;6;3;6;5;4;-;2;-;1;4;1;1;2;3;-;-;2;4;3;2;4;2;2;3;3;3;4;5;2;3;5;-;2;3;5;-;5;2;2;10;3;13;2;5;2;1;1;2;-;1;2;1;5;2;2;1;7;2;3;5;5;2;4;5;6;4;2;7;1;3;10;3;5;11;4;2;1;5;2;2;8;3;4;1;2;2;2;4;3;3;8;6;5;4;1;2;7;3;5;1;2;1;6;-;4;2;3;2;2;5;5;3;3;4;1;2;1;4;529
"353950 Pitangueiras";1;5;1;2;3;1;2;-;1;1;1;-;1;2;1;-;-;-;3;2;2;-;1;1;1;1;2;2;-;-;-;-;-;1;1;1;-;1;-;3;-;2;2;-;-;2;1;-;-;-;1;-;1;-;1;-;4;-;2;3;3;2;-;-;1;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;1;-;1;-;-;-;1;1;1;-;1;-;-;1;-;-;2;-;1;-;-;1;-;-;-;-;1;-;2;2;1;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;101
"354020 Pontal";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;2;1;-;1;1;1;2;-;1;3;1;-;-;-;-;-;1;-;1;-;-;2;-;-;-;-;-;2;1;-;-;2;1;-;-;-;1;1;-;-;2;-;1;-;1;2;1;1;1;1;3;-;2;-;-;1;-;1;-;2;-;1;-;-;-;-;1;1;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;2;-;1;1;1;1;-;-;1;2;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;76
