 Morbidade Hospitalar do SUS - por local de internação - São Paulo
Internações por Município e Ano/mês processamento
Divisão administ estadual: 3514 São João da Boa Vista
Lista Morb  CID-10: Acid vascular cerebr não espec hemorrág ou isquêm
Período:Jan/2008-Abr/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"350870 Caconde";1;3;-;1;2;5;3;1;2;5;4;3;1;-;4;-;2;1;2;1;1;1;2;4;2;2;-;2;-;3;1;1;2;1;1;-;4;1;1;1;4;1;3;2;4;1;-;-;4;1;-;-;1;-;2;4;2;3;1;-;-;3;2;1;2;2;3;3;2;1;-;2;3;2;2;1;2;4;2;-;1;3;2;-;1;-;3;1;-;1;2;1;2;-;2;1;2;1;3;-;3;2;4;2;1;2;1;3;4;2;2;1;4;2;3;3;1;7;3;2;1;2;3;1;4;3;1;4;2;-;4;4;1;1;3;3;1;-;2;7;3;3;1;1;4;-;1;1;4;2;2;1;1;1;4;4;1;2;3;1;306
"351080 Casa Branca";-;-;-;-;2;-;-;-;-;-;-;-;2;-;1;-;-;-;2;3;-;-;2;5;1;3;2;1;1;1;2;1;-;-;2;1;1;3;4;4;2;-;1;1;3;2;1;-;4;3;2;3;-;3;3;4;2;6;6;4;2;6;2;2;6;5;4;7;4;8;4;3;1;2;7;2;2;5;2;1;5;4;3;5;5;1;5;4;10;-;3;2;4;5;3;2;1;7;7;4;3;4;7;3;8;4;4;3;-;10;1;7;3;7;4;2;5;2;5;5;4;1;4;6;5;5;3;4;6;3;-;6;3;-;2;5;2;4;3;5;2;3;2;1;1;3;2;5;8;-;4;6;3;1;2;5;4;5;6;-;470
"351390 Divinolândia";1;2;3;1;5;4;4;3;3;2;4;2;7;5;3;3;3;2;1;1;5;3;-;4;7;2;-;3;-;2;3;3;1;2;1;3;3;3;4;1;4;2;1;2;-;1;2;3;6;2;1;2;4;1;3;6;1;5;3;1;1;2;1;2;-;2;1;2;1;2;5;-;2;1;1;4;5;2;2;-;2;1;-;2;2;1;1;-;1;1;1;3;1;1;2;1;2;2;2;1;1;-;-;1;1;2;1;2;1;1;2;1;1;2;3;5;2;1;3;1;3;1;3;-;1;1;4;-;2;1;-;-;-;1;2;3;2;-;1;-;-;1;-;1;4;2;1;2;1;1;1;2;-;-;1;-;1;-;1;1;298
"351518 Espírito Santo do Pinhal";5;1;5;2;4;4;7;9;2;9;3;7;10;7;10;5;4;9;10;10;8;4;7;5;4;9;7;9;9;1;4;6;12;4;7;10;4;8;9;7;7;12;2;17;10;9;12;3;8;3;2;5;8;6;9;11;4;13;8;5;14;8;4;6;12;6;7;3;7;8;10;9;9;6;5;4;6;10;10;15;9;8;4;12;4;9;5;10;7;3;5;5;10;10;5;10;4;9;5;10;8;14;9;15;11;5;12;10;8;8;5;5;8;6;9;8;7;6;10;8;4;12;7;8;9;5;4;7;8;8;5;8;5;9;4;2;2;4;4;4;4;4;7;5;1;2;3;4;3;4;8;2;5;6;4;4;6;2;2;5;1086
"352260 Itapira";-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;6;9;10;7;6;3;9;8;10;10;12;8;11;5;4;10;13;13;12;6;14;3;7;8;5;9;7;3;10;6;9;9;9;6;5;7;11;11;17;8;9;4;13;3;10;3;4;6;12;10;5;9;12;10;8;10;8;7;10;4;4;6;9;8;8;13;10;7;6;11;7;10;5;9;10;4;21;14;9;8;10;11;10;12;11;6;8;11;10;13;11;15;7;10;3;5;11;12;17;14;8;3;5;16;6;13;8;9;11;8;7;7;6;2;7;8;10;6;4;7;10;6;7;8;1;5;13;11;16;4;5;12;5;13;5;9;5;3;4;8;3;14;3;17;5;1227
"353050 Mococa";13;13;-;-;-;5;4;-;3;-;2;-;3;3;1;2;-;-;2;2;-;4;5;2;6;2;6;3;8;1;3;3;7;6;8;8;10;5;8;12;4;6;6;7;13;7;2;8;2;5;1;1;3;5;1;3;4;4;6;2;4;3;6;4;5;2;7;5;1;3;5;3;4;4;11;7;3;4;13;3;5;5;13;3;11;11;18;7;6;12;8;13;9;8;18;11;10;7;14;9;5;8;6;10;14;8;5;4;11;10;5;2;6;8;5;8;14;6;3;5;4;5;6;2;16;7;8;7;5;12;9;6;11;4;7;13;12;7;10;12;5;6;7;14;2;6;7;3;3;3;8;5;4;5;3;3;2;5;3;3;948
"353070 Mogi Guaçu";-;-;9;8;3;9;12;4;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;4;4;-;1;9;6;5;5;-;-;3;25;10;8;7;2;-;12;3;12;14;11;16;14;13;7;6;10;2;4;3;4;7;7;2;3;8;6;4;4;6;7;8;15;8;13;19;3;14;1;3;13;6;1;-;2;1;-;-;2;2;1;1;1;1;-;-;-;2;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;2;-;-;4;3;-;2;6;8;-;1;1;3;-;1;3;3;3;10;1;2;-;2;6;2;3;2;9;4;10;13;5;2;3;2;564
"353080 Mogi Mirim";-;-;2;-;-;-;2;3;-;-;9;18;11;6;9;8;7;15;12;13;10;9;12;7;13;6;7;11;14;7;9;10;16;8;6;16;17;7;17;7;8;13;6;14;9;11;12;13;17;10;10;9;14;16;13;6;5;13;11;8;10;5;6;15;9;5;14;10;7;7;18;9;4;15;9;11;10;16;13;21;10;7;8;11;13;8;11;5;6;5;9;9;9;10;3;4;6;5;5;8;7;1;9;8;6;5;5;11;7;5;7;2;1;5;10;6;6;2;9;7;7;8;3;8;1;3;1;3;10;8;10;10;5;8;4;7;3;7;6;8;7;4;5;4;7;9;5;21;12;13;4;3;4;2;3;9;13;6;5;3;1286
"354630 Santa Cruz das Palmeiras";-;-;-;-;1;2;2;2;-;-;1;-;6;3;2;3;2;3;1;1;-;1;-;3;-;1;3;-;-;8;3;2;-;1;-;4;2;4;3;-;3;2;2;2;-;3;3;3;5;3;2;-;2;5;2;3;2;2;1;1;-;1;-;2;1;-;1;2;2;4;2;1;3;-;-;4;-;-;-;2;1;1;2;1;1;-;1;2;1;-;1;1;-;1;-;1;-;2;1;-;-;1;1;-;3;2;2;1;-;-;1;1;1;1;2;1;-;1;-;1;1;2;-;-;-;2;-;1;1;1;-;2;-;-;1;4;2;1;-;2;3;-;-;3;-;-;1;-;1;-;-;1;-;-;1;-;-;2;-;-;203
"354910 São João da Boa Vista";13;15;11;8;10;14;14;11;20;11;16;19;7;13;9;4;7;4;17;10;17;12;13;14;14;20;15;12;23;17;20;10;18;18;14;23;13;21;21;19;21;32;23;18;15;16;29;21;17;16;11;18;19;25;17;21;31;28;18;26;20;15;18;9;10;16;21;9;31;17;5;23;18;21;18;16;18;18;29;21;37;19;18;17;21;20;16;13;19;16;15;12;17;19;13;8;9;15;11;16;14;14;21;8;16;24;11;9;24;19;15;17;14;19;17;18;20;12;18;4;17;15;20;14;16;15;16;20;14;24;13;10;11;10;15;18;18;13;16;18;15;10;21;14;25;15;10;9;8;5;17;11;17;14;7;10;13;14;9;17;2561
